FECHA,confirmed,deaths,estimation,knownratio
2020-03-15,4,0,1700.0,0.002352941176470588
2020-03-16,15,0,1900.0,0.007894736842105263
2020-03-17,29,1,1900.0,0.015263157894736841
2020-03-18,42,1,2400.0,0.0175
2020-03-19,57,1,2900.0,0.019655172413793102
2020-03-20,73,2,3100.0,0.023548387096774193
2020-03-21,100,5,3500.0,0.02857142857142857
2020-03-22,125,6,3900.0,0.03205128205128205
2020-03-23,155,6,4000.0,0.03875
2020-03-24,183,7,4300.0,0.04255813953488372
2020-03-25,212,12,4500.0,0.04711111111111111
2020-03-26,235,15,4800.0,0.04895833333333333
2020-03-27,254,17,5100.0,0.04980392156862745
2020-03-28,272,19,5100.0,0.05333333333333334
2020-03-29,304,19,5100.0,0.0596078431372549
2020-03-30,336,24,5300.0,0.06339622641509433
2020-03-31,367,29,5300.0,0.06924528301886793
2020-04-01,402,31,5300.0,0.07584905660377358
2020-04-02,439,35,5700.0,0.07701754385964912
2020-04-03,462,39,5700.0,0.08105263157894736
2020-04-04,478,40,5700.0,0.08385964912280702
2020-04-05,494,43,6500.0,0.076
2020-04-06,520,45,7200.0,0.07222222222222222
2020-04-07,542,48,7300.0,0.07424657534246576
2020-04-08,564,51,7600.0,0.07421052631578948
2020-04-09,574,51,8400.0,0.06833333333333333
2020-04-10,583,51,9700.0,0.06010309278350515
2020-04-11,592,53,10900.0,0.05431192660550459
2020-04-12,605,53,11300.0,0.05353982300884956
2020-04-13,625,53,11600.0,0.05387931034482758
2020-04-14,649,57,11600.0,0.055948275862068964
2020-04-15,659,57,12300.0,0.05357723577235772
2020-04-16,686,57,12600.0,0.05444444444444444
2020-04-17,710,65,12700.0,0.05590551181102362
2020-04-18,734,72,12800.0,0.05734375
2020-04-19,761,73,13100.0,0.058091603053435116
2020-04-20,784,76,13200.0,0.059393939393939395
2020-04-21,823,84,13500.0,0.06096296296296296
2020-04-22,895,97,13800.0,0.06485507246376812
2020-04-23,958,109,14600.0,0.06561643835616439
2020-04-24,1008,113,15400.0,0.06545454545454546
2020-04-25,1040,116,16000.0,0.065
2020-04-26,1060,116,16100.0,0.06583850931677018
2020-04-27,1123,123,16300.0,0.0688957055214724
