FECHA,TotalA,TotalB,TotalC,Total,<=30A,<=30B,<=30C,<=30,31-40A,31-40B,31-40C,31-40,41-50A,41-50B,41-50C,41-50,51-60A,51-60B,51-60C,51-60,61-70A,61-70B,61-70C,61-70,71-80A,71-80B,71-80C,71-80,81-90A,81-90B,81-90C,81-90,>=91A,>=91B,>=91C,>=91
2020-12-29,671,0,0,671,106,0,0,106,219,0,0,219,212,0,0,212,131,0,0,131,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-30,782,0,0,782,144,0,0,144,248,0,0,248,240,0,0,240,147,0,0,147,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-31,81,0,0,81,10,0,0,10,28,0,0,28,28,0,0,28,14,0,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,382,0,0,382,42,0,0,42,149,0,0,149,113,0,0,113,76,0,0,76,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,148,0,0,148,22,0,0,22,63,0,0,63,39,0,0,39,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,844,0,0,844,148,0,0,148,291,0,0,291,245,0,0,245,159,0,0,159,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,1200,0,0,1200,197,0,0,197,438,0,0,438,337,0,0,337,223,0,0,223,4,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0
2021-01-06,1291,0,0,1291,237,0,0,237,432,0,0,432,367,0,0,367,253,0,0,253,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,1421,0,0,1421,242,0,0,242,488,0,0,488,409,0,0,409,282,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,1842,0,0,1842,351,0,0,351,627,0,0,627,529,0,0,529,327,0,0,327,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-09,439,0,0,439,54,0,0,54,172,0,0,172,138,0,0,138,75,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,567,0,0,567,81,0,0,81,241,0,0,241,154,0,0,154,89,0,0,89,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,1848,0,0,1848,369,0,0,369,666,0,0,666,497,0,0,497,311,0,0,311,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,1679,0,0,1679,285,0,0,285,624,0,0,624,440,0,0,440,328,0,0,328,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-13,1355,0,0,1355,258,0,0,258,487,0,0,487,362,0,0,362,247,0,0,247,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,2213,0,0,2213,448,0,0,448,779,0,0,779,610,0,0,610,375,0,0,375,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,3409,0,0,3409,665,0,0,665,1235,0,0,1235,918,0,0,918,588,0,0,588,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-16,1329,0,0,1329,249,0,0,249,503,0,0,503,363,0,0,363,214,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,829,0,0,829,159,0,0,159,327,0,0,327,225,0,0,225,118,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-18,504,0,0,504,82,0,0,82,165,0,0,165,159,0,0,159,98,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-19,399,354,0,753,64,39,0,103,139,111,0,250,113,126,0,239,83,75,0,158,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-20,234,560,0,794,39,87,0,126,72,186,0,258,74,171,0,245,47,115,0,162,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-21,124,196,0,320,20,33,0,53,30,67,0,97,40,60,0,100,28,35,0,63,5,1,0,6,1,0,0,1,0,0,0,0,0,0,0,0
2021-01-22,21,67,0,88,5,12,0,17,5,24,0,29,5,24,0,29,4,6,0,10,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0
2021-01-23,39,279,0,318,4,27,0,31,16,108,0,124,14,85,0,99,5,58,0,63,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-24,20,112,0,132,4,10,0,14,7,50,0,57,4,33,0,37,5,19,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-25,88,657,0,745,18,106,0,124,21,211,0,232,29,196,0,225,19,141,0,160,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-26,141,901,0,1042,12,136,0,148,46,289,0,335,47,282,0,329,33,188,0,221,3,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-27,120,993,0,1113,20,171,0,191,34,331,0,365,37,277,0,314,24,213,0,237,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-28,117,1150,0,1267,12,209,0,221,46,379,0,425,33,320,0,353,24,242,0,266,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-29,58,1637,0,1695,2,288,0,290,20,597,0,617,18,471,0,489,18,273,0,291,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-30,6,406,0,412,1,57,0,58,2,161,0,163,3,119,0,122,0,69,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-31,1,342,0,343,0,56,0,56,0,135,0,135,0,92,0,92,1,58,0,59,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,1,1490,0,1491,0,266,0,266,0,557,0,557,0,405,0,405,1,257,0,258,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-02,1727,1461,0,3188,97,260,0,357,253,501,0,754,260,386,0,646,374,313,0,687,669,1,0,670,66,0,0,66,7,0,0,7,1,0,0,1
2021-02-03,2355,1225,0,3580,230,235,0,465,521,420,0,941,483,316,0,799,469,252,0,721,583,2,0,585,64,0,0,64,5,0,0,5,0,0,0,0
2021-02-04,1768,1801,0,3569,145,338,0,483,377,647,0,1024,354,504,0,858,391,312,0,703,418,0,0,418,75,0,0,75,7,0,0,7,1,0,0,1
2021-02-05,2816,2810,0,5626,322,536,0,858,746,1045,0,1791,585,729,0,1314,598,496,0,1094,463,4,0,467,94,0,0,94,8,0,0,8,0,0,0,0
