FECHA,TotalM,TotalF,Total,<=30M,<=30F,<=30,31-40M,31-40F,31-40,41-50M,41-50F,41-50,51-60M,51-60F,51-60,61-70M,61-70F,61-70,71-80M,71-80F,71-80,>=81M,>=81F,>=81
2020-12-29,0.00020698559061849926,0.00029244050491048683,0.0002523047190736515,7.224389539083947e-05,0.00012809406149189131,9.980355333917738e-05,0.00046248738165437074,0.0006089078138940923,0.0005375411825906017,0.00045332462430112453,0.00069462298660821,0.000578652185524793,0.0003796203796203796,0.0005674724775848371,0.0004810491160339492,7.981737783950322e-06,1.1996592967597202e-05,1.0273972602739726e-05,0.0,7.42931011426279e-06,4.555538851913098e-06,0.0,0.0,0.0
2020-12-30,0.00044166156125285125,0.0006388322979386317,0.0005462267113965652,0.00015598113777567615,0.00031854970555220336,0.00023620174290271982,0.0010050206562873826,0.0013404428958640783,0.0011769550893011964,0.0009212726235797047,0.0014839672895720852,0.0012135296846228453,0.0008325008325008325,0.001146294404721371,0.0010019303244783529,2.3945213351850965e-05,1.7994889451395803e-05,2.0547945205479453e-05,0.0,1.485862022852558e-05,9.111077703826197e-06,0.0,0.0,0.0
2020-12-31,0.0004735054982710819,0.0006700995217340925,0.0005777648012807716,0.00016747448476967333,0.00032360605008477806,0.0002445187056809846,0.001067278573048548,0.001412327846115464,0.0012441477371250217,0.0009992639567928015,0.0015786886059277502,0.0013002103763816199,0.0008924408924408924,0.0011973669277040063,0.0010570824524312897,2.3945213351850965e-05,2.3993185935194405e-05,2.3972602739726026e-05,0.0,1.485862022852558e-05,9.111077703826197e-06,0.0,0.0,0.0
2021-01-01,0.0004735054982710819,0.0006700995217340925,0.0005777648012807716,0.00016747448476967333,0.00032360605008477806,0.0002445187056809846,0.001067278573048548,0.001412327846115464,0.0012441477371250217,0.0009992639567928015,0.0015786886059277502,0.0013002103763816199,0.0008924408924408924,0.0011973669277040063,0.0010570824524312897,2.3945213351850965e-05,2.3993185935194405e-05,2.3972602739726026e-05,0.0,1.485862022852558e-05,9.111077703826197e-06,0.0,0.0,0.0
2021-01-02,0.0005794212018317186,0.0008405365455603301,0.0007178979635497713,0.00019046117875766772,0.00037922583994309925,0.00028360843073882907,0.0013252042282019469,0.001873237233021409,0.0016061210334662737,0.0012429868730837285,0.0019305106381059345,0.0016000787154390025,0.0010922410922410922,0.0015151515151515152,0.001320587063761988,3.192695113580129e-05,2.9991482418993006e-05,3.082191780821918e-05,0.0,2.2287930342788368e-05,1.3666616555739295e-05,0.0,0.0,0.0
2021-01-03,0.0006174954743535161,0.0009104279869854779,0.0007728457696366877,0.00020523833917852124,0.0004078784589610223,0.0003052325339623175,0.0014363790795611706,0.0020762065043194397,0.0017643488815675395,0.001301480372993551,0.002065826804328313,0.0016984730141922063,0.0011521811521811522,0.0016229712858926342,0.0014063792627998896,3.192695113580129e-05,2.9991482418993006e-05,3.082191780821918e-05,0.0,2.2287930342788368e-05,1.3666616555739295e-05,0.0,0.0,0.0
2021-01-04,0.0008639398564946056,0.0012684683535844807,0.0010784726200609564,0.0003053946486976396,0.0005781087248910358,0.00043996733097020695,0.0019522303898679687,0.002934597380850695,0.002455782902722386,0.001803549580552861,0.0028551711072921883,0.002349749563082459,0.0016516816516816517,0.002218817387356713,0.001957900542329258,3.990868891975161e-05,2.9991482418993006e-05,3.424657534246575e-05,0.0,2.2287930342788368e-05,1.3666616555739295e-05,0.0,0.0,0.0
2021-01-05,0.001219068980197917,0.0017675177686728167,0.0015099266950747909,0.000425253838777896,0.0008090151252119451,0.0006146235493137674,0.002912781105611662,0.0040805280583874936,0.003511357724986995,0.0024177313296059977,0.0039692742091897715,0.0032235846448668633,0.0022977022977022977,0.003098399727613211,0.002730030333670374,4.789042670370193e-05,4.798637187038881e-05,4.794520547945205e-05,0.0,2.971724045705116e-05,1.8222155407652394e-05,0.0,0.0,0.0
2021-01-06,0.001610195597921837,0.002303965235751802,0.0019781210191289894,0.0005878026034072848,0.0010837431781485015,0.0008325279741043047,0.003846649857029141,0.005184173471070536,0.004532252470955436,0.0031878957450853273,0.00512397216095407,0.004193471304005585,0.002937062937062937,0.004182272159800249,0.003609400373808867,6.385390227160258e-05,5.998296483798601e-05,6.164383561643835e-05,0.0,4.4575860685576736e-05,2.733323311147859e-05,0.0,0.0,0.0
2021-01-07,0.002007552551149324,0.002925631214743906,0.0024944353153776473,0.0007355742076158201,0.0013685839201502072,0.0010479373100613625,0.0047404956619573,0.006655700687981259,0.005722212588867696,0.003972683535542113,0.0064861549009260135,0.005278151311689711,0.0037495837495837496,0.005288843491090682,0.0045806906272022555,6.385390227160258e-05,5.998296483798601e-05,6.164383561643835e-05,0.0,4.4575860685576736e-05,2.733323311147859e-05,0.0,0.0,0.0
2021-01-08,0.0024720586759152535,0.0036539736043322882,0.0030988611823337276,0.0009342449199406286,0.0017562370009809307,0.0013398627035784564,0.0057499633122990515,0.008368253914558393,0.007092075602566326,0.004908579534099273,0.008024248656987051,0.006526821817295843,0.004582084582084582,0.006469186244467144,0.005601004994331587,0.00010376259119135419,7.797785428938182e-05,8.904109589041096e-05,1.177703713299808e-05,5.200517079983953e-05,3.644431081530479e-05,0.0,0.0,0.0
