FECHA,SputnikA,SputnikB,Sputnik,CovishieldA,CovishieldB,Covishield,SinopharmA,SinopharmB,Sinopharm,AstraZenecaA,AstraZenecaB,AstraZeneca,TotalA,TotalB,Total
2020-12-29,775,0,775,0,0,0,0,0,0,0,0,0,775,0,775
2020-12-30,1678,0,1678,0,0,0,0,0,0,0,0,0,1678,0,1678
2020-12-31,1775,0,1775,0,0,0,0,0,0,0,0,0,1775,0,1775
2021-01-01,1775,0,1775,0,0,0,0,0,0,0,0,0,1775,0,1775
2021-01-02,2205,0,2205,0,0,0,0,0,0,0,0,0,2205,0,2205
2021-01-03,2374,0,2374,0,0,0,0,0,0,0,0,0,2374,0,2374
2021-01-04,3314,0,3314,0,0,0,0,0,0,0,0,0,3314,0,3314
2021-01-05,4645,0,4645,0,0,0,0,0,0,0,0,0,4645,0,4645
2021-01-06,6084,0,6084,0,0,0,0,0,0,0,0,0,6084,0,6084
2021-01-07,7672,0,7672,0,0,0,0,0,0,0,0,0,7672,0,7672
2021-01-08,9528,0,9528,0,0,0,0,0,0,0,0,0,9528,0,9528
2021-01-09,9972,0,9972,0,0,0,0,0,0,0,0,0,9972,0,9972
2021-01-10,10544,0,10544,0,0,0,0,0,0,0,0,0,10544,0,10544
2021-01-11,12410,0,12410,0,0,0,0,0,0,0,0,0,12410,0,12410
2021-01-12,14103,0,14103,0,0,0,0,0,0,0,0,0,14103,0,14103
2021-01-13,15462,0,15462,0,0,0,0,0,0,0,0,0,15462,0,15462
2021-01-14,17690,0,17690,0,0,0,0,0,0,0,0,0,17690,0,17690
2021-01-15,21116,0,21116,0,0,0,0,0,0,0,0,0,21116,0,21116
2021-01-16,22453,0,22453,0,0,0,0,0,0,0,0,0,22453,0,22453
2021-01-17,23286,0,23286,0,0,0,0,0,0,0,0,0,23286,0,23286
2021-01-18,23793,0,23793,0,0,0,0,0,0,0,0,0,23793,0,23793
2021-01-19,24125,426,24551,0,0,0,0,0,0,0,0,0,24125,426,24551
2021-01-20,24276,1071,25347,0,0,0,0,0,0,0,0,0,24276,1071,25347
2021-01-21,24358,1301,25659,0,0,0,0,0,0,0,0,0,24358,1301,25659
2021-01-22,24363,1378,25741,0,0,0,0,0,0,0,0,0,24363,1378,25741
2021-01-23,24368,1696,26064,0,0,0,0,0,0,0,0,0,24368,1696,26064
2021-01-24,24370,1826,26196,0,0,0,0,0,0,0,0,0,24370,1826,26196
2021-01-25,24373,2560,26933,0,0,0,0,0,0,0,0,0,24373,2560,26933
2021-01-26,24382,3559,27941,0,0,0,0,0,0,0,0,0,24382,3559,27941
2021-01-27,24386,4662,29048,0,0,0,0,0,0,0,0,0,24386,4662,29048
2021-01-28,24386,5929,30315,0,0,0,0,0,0,0,0,0,24386,5929,30315
