FECHA,TotalM,TotalF,Total,<=30M,<=30F,<=30,31-40M,31-40F,31-40,41-50M,41-50F,41-50,51-60M,51-60F,51-60,61-70M,61-70F,61-70,71-80M,71-80F,71-80,81-90M,81-90F,81-90,>=91M,>=91F,>=91
2020-12-29,299,476,775,44,76,120,104,144,248,93,154,247,57,100,157,1,2,3,0,0,0,0,0,0,0,0,0
2020-12-30,339,565,904,51,112,163,122,173,295,96,175,271,68,102,170,2,2,4,0,1,1,0,0,0,0,0,0
2020-12-31,46,51,97,7,3,10,14,17,31,16,21,37,9,9,18,0,1,1,0,0,0,0,0,0,0,0,0
2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,153,277,430,14,33,47,58,109,167,50,78,128,30,55,85,1,2,3,0,0,0,0,0,0,0,0,0
2021-01-03,55,114,169,9,17,26,25,48,73,12,30,42,9,19,28,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,356,584,940,61,101,162,116,203,319,103,175,278,75,105,180,1,0,1,0,0,0,0,0,0,0,0,0
2021-01-05,515,816,1331,74,139,213,217,271,488,126,247,373,97,155,252,1,3,4,0,1,1,0,0,0,0,0,0
2021-01-06,565,873,1438,99,163,262,210,261,471,158,256,414,96,191,287,2,2,4,0,0,0,0,0,0,0,0,0
2021-01-07,574,1014,1588,90,169,259,201,348,549,161,302,463,122,195,317,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,670,1186,1856,121,230,351,227,405,632,192,340,532,125,208,333,5,3,8,0,0,0,0,0,0,0,0,0
2021-01-09,169,275,444,14,40,54,72,102,174,52,89,141,31,44,75,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,209,362,571,33,48,81,89,152,241,54,102,156,31,59,90,2,1,3,0,0,0,0,0,0,0,0,0
2021-01-11,664,1202,1866,113,259,372,268,404,672,177,327,504,104,209,313,2,3,5,0,0,0,0,0,0,0,0,0
