FECHA,<=10M,<=10F,<=10,11-20M,11-20F,11-20,21-30M,21-30F,21-30,31-40M,31-40F,31-40,41-50M,41-50F,41-50,51-60M,51-60F,51-60,61-70M,61-70F,61-70,71-80M,71-80F,71-80,81-90M,81-90F,81-90,>=91M,>=91F,>=91,TotalM,TotalF,Total
2020-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
2020-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
2020-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
2020-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,2
2020-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,0,1,1,0,0,0,4,1,5
2020-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,4,0,1,1,0,0,0,5,1,6
2020-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,4,0,1,1,0,0,0,5,1,6
2020-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,5,0,1,1,0,0,0,5,2,7
2020-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,1,5,1,3,4,0,1,1,7,5,12
2020-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,5,1,6,1,3,4,0,1,1,10,5,15
2020-03-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,4,5,1,6,1,3,4,0,1,1,12,5,17
2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,4,5,1,6,3,3,6,0,1,1,14,5,19
2020-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,4,5,1,6,3,3,6,0,1,1,14,5,19
2020-03-30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,5,0,5,7,1,8,3,3,6,0,2,2,18,6,24
2020-03-31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,6,0,6,9,2,11,3,4,7,0,2,2,21,8,29
2020-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,8,0,8,9,2,11,3,4,7,0,2,2,23,8,31
2020-04-02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,8,0,8,11,2,13,3,4,7,1,3,4,26,9,35
2020-04-03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,3,8,1,9,12,2,14,3,5,8,1,3,4,27,12,39
2020-04-04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,3,8,1,9,12,2,14,3,5,8,2,3,5,28,12,40
2020-04-05,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,3,8,1,9,14,2,16,3,5,8,2,3,5,30,13,43
2020-04-06,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,3,9,1,10,14,3,17,3,5,8,2,3,5,31,14,45
2020-04-07,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,3,9,1,10,14,5,19,3,5,8,3,3,6,32,16,48
2020-04-08,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1,4,9,1,10,15,5,20,3,6,9,3,3,6,34,17,51
2020-04-09,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1,4,9,1,10,15,5,20,3,6,9,3,3,6,34,17,51
2020-04-10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1,4,9,1,10,15,5,20,3,6,9,3,3,6,34,17,51
2020-04-11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1,4,9,1,10,15,5,20,5,6,11,3,3,6,36,17,53
2020-04-12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1,4,9,1,10,15,5,20,5,6,11,3,3,6,36,17,53
2020-04-13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1,4,9,1,10,15,5,20,5,6,11,3,3,6,36,17,53
2020-04-14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1,4,10,1,11,17,5,22,5,7,12,3,3,6,39,18,57
2020-04-15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1,4,10,1,11,17,5,22,5,7,12,3,3,6,39,18,57
2020-04-16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1,4,10,1,11,17,5,22,5,7,12,3,3,6,39,18,57
2020-04-17,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,3,1,4,10,1,11,17,6,23,7,9,16,3,5,8,42,23,65
2020-04-18,0,0,0,0,0,0,1,0,1,0,0,0,2,1,3,3,1,4,10,1,11,17,7,24,8,11,19,3,7,10,44,28,72
2020-04-19,0,0,0,0,0,0,1,0,1,0,0,0,2,1,3,3,1,4,10,1,11,17,7,24,8,11,19,4,7,11,45,28,73
2020-04-20,0,0,0,0,0,0,1,0,1,0,0,0,3,1,4,3,1,4,10,1,11,17,7,24,9,11,20,4,8,12,47,29,76
2020-04-21,0,0,0,0,0,0,1,0,1,0,0,0,3,1,4,4,1,5,11,1,12,17,7,24,11,11,22,5,11,16,52,32,84
2020-04-22,0,0,0,0,0,0,1,0,1,1,0,1,3,1,4,4,1,5,12,2,14,18,10,28,12,13,25,6,13,19,57,40,97
2020-04-23,0,0,0,0,0,0,1,0,1,1,0,1,3,1,4,4,1,5,13,3,16,20,12,32,15,13,28,6,16,22,63,46,109
2020-04-24,0,0,0,0,0,0,1,0,1,1,0,1,3,1,4,4,1,5,13,3,16,20,12,32,17,15,32,6,16,22,65,48,113
2020-04-25,0,0,0,0,0,0,1,0,1,1,0,1,3,1,4,5,1,6,13,3,16,20,12,32,17,17,34,6,16,22,66,50,116
2020-04-26,0,0,0,0,0,0,1,0,1,1,0,1,3,1,4,5,1,6,13,3,16,20,12,32,17,17,34,6,16,22,66,50,116
2020-04-27,0,0,0,0,0,0,1,0,1,1,0,1,3,1,4,5,1,6,14,3,17,21,13,34,18,18,36,7,17,24,70,53,123
2020-04-28,0,0,0,0,0,0,1,0,1,1,0,1,3,1,4,5,1,6,14,3,17,21,13,34,19,20,39,7,17,24,71,55,126
2020-04-29,0,0,0,0,0,0,1,0,1,1,0,1,3,1,4,5,1,6,14,3,17,22,13,35,19,20,39,7,17,24,72,55,127
2020-04-30,0,0,0,0,0,0,1,0,1,1,0,1,3,1,4,6,1,7,14,3,17,22,13,35,19,20,39,7,17,24,73,55,128
2020-05-01,0,0,0,0,0,0,1,0,1,1,0,1,3,1,4,6,1,7,15,3,18,22,13,35,19,21,40,8,17,25,75,56,131
2020-05-02,0,0,0,0,0,0,1,0,1,1,0,1,3,1,4,6,1,7,15,3,18,23,13,36,19,21,40,8,17,25,76,56,132
2020-05-03,0,0,0,0,0,0,1,0,1,1,0,1,3,1,4,7,1,8,16,3,19,23,13,36,20,21,41,8,17,25,79,56,135
2020-05-04,0,0,0,0,0,0,1,0,1,1,0,1,3,1,4,8,1,9,16,3,19,23,13,36,20,23,43,8,17,25,80,58,138
2020-05-05,0,0,0,0,0,0,1,0,1,2,0,2,3,2,5,8,1,9,16,3,19,24,13,37,23,23,46,8,19,27,85,61,146
2020-05-06,0,0,0,0,0,0,1,0,1,2,0,2,4,2,6,8,1,9,17,4,21,25,13,38,23,23,46,10,21,31,90,64,154
2020-05-07,0,0,0,0,0,0,1,0,1,2,0,2,4,2,6,10,1,11,17,4,21,25,14,39,24,23,47,10,23,33,93,67,160
2020-05-08,0,0,0,0,0,0,1,0,1,2,0,2,4,2,6,10,1,11,17,4,21,25,14,39,24,24,48,10,23,33,93,68,161
2020-05-09,0,0,0,0,0,0,1,0,1,2,0,2,4,2,6,10,1,11,17,5,22,25,14,39,24,24,48,11,23,34,94,69,163
2020-05-10,0,0,0,0,0,0,1,0,1,2,0,2,4,2,6,10,1,11,18,5,23,25,14,39,24,24,48,11,23,34,95,69,164
2020-05-11,0,0,0,0,0,0,1,0,1,2,0,2,5,3,8,10,1,11,19,5,24,25,14,39,24,24,48,11,23,34,97,70,167
2020-05-12,0,0,0,0,0,0,1,0,1,3,0,3,5,3,8,12,2,14,20,6,26,27,17,44,24,25,49,12,24,36,104,77,181
2020-05-13,0,0,0,0,0,0,1,0,1,3,0,3,6,3,9,12,3,15,22,6,28,27,17,44,24,26,50,12,26,38,107,81,188
2020-05-14,0,0,0,0,0,0,1,0,1,3,0,3,6,3,9,14,3,17,23,6,29,28,18,46,24,27,51,12,26,38,111,83,194
2020-05-15,0,0,0,0,0,0,1,0,1,3,0,3,6,4,10,14,3,17,23,6,29,28,19,47,24,28,52,13,27,40,112,87,199
2020-05-16,0,0,0,0,0,0,1,0,1,4,0,4,6,5,11,14,3,17,24,7,31,30,20,50,24,29,53,13,30,43,116,94,210
2020-05-17,0,1,1,0,0,0,1,0,1,4,0,4,6,6,12,17,3,20,25,7,32,31,20,51,26,32,58,13,30,43,123,99,222
2020-05-18,0,1,1,0,0,0,1,0,1,5,0,5,6,6,12,20,3,23,27,8,35,33,21,54,26,32,58,13,30,43,131,101,232
2020-05-19,0,1,1,0,0,0,1,0,1,5,0,5,7,6,13,21,3,24,27,8,35,33,21,54,26,34,60,14,30,44,134,103,237
2020-05-20,0,1,1,0,0,0,1,1,2,6,0,6,7,7,14,24,4,28,28,8,36,34,22,56,27,36,63,15,30,45,142,109,251
2020-05-21,0,1,1,0,0,0,1,1,2,6,0,6,8,7,15,24,4,28,30,8,38,34,23,57,27,37,64,15,33,48,145,114,259
2020-05-22,0,1,1,0,0,0,1,1,2,6,0,6,8,7,15,27,4,31,31,10,41,34,23,57,27,37,64,15,33,48,149,116,265
2020-05-23,0,1,1,0,0,0,1,1,2,6,0,6,11,7,18,29,4,33,31,10,41,35,23,58,29,41,70,15,34,49,157,121,278
2020-05-24,0,1,1,0,0,0,1,1,2,7,0,7,11,7,18,29,5,34,32,10,42,35,24,59,29,41,70,16,34,50,160,123,283
2020-05-25,0,1,1,0,0,0,1,1,2,7,0,7,11,8,19,30,5,35,33,12,45,36,28,64,30,42,72,17,34,51,165,131,296
2020-05-26,0,1,1,0,0,0,1,1,2,7,0,7,11,9,20,33,7,40,36,13,49,37,29,66,30,45,75,19,34,53,174,139,313
2020-05-27,0,1,1,0,0,0,1,1,2,7,0,7,13,10,23,33,7,40,37,13,50,39,33,72,31,47,78,19,35,54,180,147,327
2020-05-28,0,1,1,0,0,0,1,1,2,8,0,8,14,11,25,35,8,43,38,14,52,40,39,79,35,51,86,22,44,66,193,169,362
2020-05-29,0,1,1,0,0,0,1,1,2,8,0,8,15,12,27,36,8,44,39,14,53,43,41,84,37,57,94,22,47,69,201,181,382
2020-05-30,0,1,1,0,0,0,1,1,2,8,0,8,16,12,28,39,8,47,39,14,53,45,42,87,38,57,95,23,47,70,209,182,391
2020-05-31,0,1,1,0,0,0,1,1,2,8,0,8,17,12,29,40,10,50,39,14,53,49,43,92,41,59,100,24,47,71,219,187,406
2020-06-01,0,1,1,0,0,0,1,1,2,9,0,9,17,13,30,41,10,51,40,14,54,50,45,95,43,61,104,25,47,72,226,192,418
2020-06-02,1,1,2,0,0,0,1,1,2,9,0,9,18,15,33,42,11,53,46,14,60,52,47,99,44,63,107,27,50,77,240,202,442
2020-06-03,1,1,2,0,0,0,1,1,2,9,0,9,19,16,35,45,12,57,51,15,66,55,48,103,45,64,109,27,50,77,253,207,460
2020-06-04,1,1,2,0,0,0,1,1,2,10,0,10,19,16,35,46,13,59,54,16,70,58,50,108,45,67,112,30,54,84,264,218,482
2020-06-05,1,1,2,0,0,0,1,2,3,10,0,10,19,16,35,47,14,61,58,18,76,63,55,118,47,70,117,30,56,86,276,232,508
2020-06-06,1,1,2,0,0,0,2,2,4,10,0,10,19,16,35,50,14,64,58,18,76,65,57,122,49,75,124,30,59,89,284,242,526
2020-06-07,1,1,2,0,0,0,2,2,4,10,0,10,19,16,35,52,14,66,59,18,77,65,59,124,52,79,131,30,62,92,290,251,541
2020-06-08,1,1,2,0,0,0,2,2,4,12,0,12,21,16,37,53,14,67,59,19,78,70,61,131,57,80,137,30,65,95,305,258,563
2020-06-09,1,1,2,0,0,0,2,2,4,12,1,13,22,17,39,55,14,69,59,22,81,72,61,133,59,82,141,30,68,98,312,268,580
2020-06-10,1,1,2,0,0,0,2,2,4,12,1,13,22,18,40,57,15,72,61,23,84,76,62,138,60,90,150,31,71,102,322,283,605
2020-06-11,1,1,2,0,0,0,2,2,4,12,1,13,24,18,42,61,15,76,64,24,88,78,66,144,61,93,154,31,74,105,334,294,628
2020-06-12,1,1,2,0,0,0,2,2,4,13,1,14,24,18,42,65,16,81,66,26,92,85,67,152,64,93,157,32,76,108,352,300,652
2020-06-13,1,1,2,0,0,0,2,3,5,13,2,15,24,20,44,67,17,84,69,26,95,87,71,158,66,97,163,32,81,113,361,318,679
