FECHA_ADMINISTRACION,GRUPO_ETARIO,GENERO,VACUNA,TIPO_EFECTOR,DOSIS_1,DOSIS_2,ID_CARGA
06JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,6,0,
06JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,8,0,
06JAN2021:00:00:00,51 a 60,M,Sputnik,Público,83,0,
06JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,5,0,
06JAN2021:00:00:00,61 a 70,F,Sputnik,Público,1,0,
06JAN2021:00:00:00,61 a 70,M,Sputnik,Público,2,0,
07JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,7,0,
07JAN2021:00:00:00,30 o menos,F,Sputnik,Público,157,0,
07JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,6,0,
07JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,8,0,
07JAN2021:00:00:00,30 o menos,M,Sputnik,Público,82,0,
07JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,18,0,
07JAN2021:00:00:00,31 a 40,F,Sputnik,Público,326,0,
07JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,5,0,
07JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,25,0,
07JAN2021:00:00:00,31 a 40,M,Sputnik,Público,169,0,
07JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,8,0,
07JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,20,0,
07JAN2021:00:00:00,41 a 50,F,Sputnik,Público,280,0,
07JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,4,0,
07JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,10,0,
07JAN2021:00:00:00,41 a 50,M,Sputnik,Público,146,0,
07JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,5,0,
07JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,8,0,
07JAN2021:00:00:00,51 a 60,F,Sputnik,Público,184,0,
07JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,3,0,
07JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,2,0,
07JAN2021:00:00:00,51 a 60,M,Sputnik,Público,115,0,
07JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,5,0,
08JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,17,0,
08JAN2021:00:00:00,30 o menos,F,Sputnik,Público,189,0,
08JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,24,0,
08JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,9,0,
08JAN2021:00:00:00,30 o menos,M,Sputnik,Público,103,0,
08JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,9,0,
08JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,16,0,
08JAN2021:00:00:00,31 a 40,F,Sputnik,Público,361,0,
08JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,28,0,
08JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,14,0,
08JAN2021:00:00:00,31 a 40,M,Sputnik,Público,193,0,
08JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,18,0,
08JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,28,0,
08JAN2021:00:00:00,41 a 50,F,Sputnik,Público,298,0,
08JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,14,0,
08JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,18,0,
08JAN2021:00:00:00,41 a 50,M,Sputnik,Público,170,0,
08JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,4,0,
08JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,14,0,
08JAN2021:00:00:00,51 a 60,F,Sputnik,Público,186,0,
08JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,8,0,
08JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,16,0,
08JAN2021:00:00:00,51 a 60,M,Sputnik,Público,104,0,
